                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.8124,                 4.9189,                 4.4218,                0.00019,                0.04587,                 0.0001,                  2e-05,                 5.2136,                 5.2659,                 4.1137,                  0.082,                  0.002,                  0.002
                      1,                 4.6049,                 4.3129,                 4.2592,                0.00027,                0.06422,                0.00017,                  3e-05,                  5.161,                   5.25,                 4.0679,               0.062897,               0.003897,               0.003897
                      2,                 4.1077,                 3.6751,                 3.7979,                0.00023,                0.05505,                0.00014,                  3e-05,                 5.1521,                 4.0218,                 4.0649,               0.043586,              0.0055862,              0.0055862
                      3,                 3.5979,                 3.2227,                 3.4702,                0.00016,                0.00917,                0.00011,                  2e-05,                 5.1882,                  4.088,                 4.0971,               0.024067,              0.0070674,              0.0070674
                      4,                 3.4157,                 2.9533,                 3.2639,                0.00016,                0.00917,                 0.0001,                  2e-05,                 5.2446,                 4.2079,                 4.1386,                0.00802,                0.00802,                0.00802
                      5,                 3.2511,                 2.9815,                 3.0914,                0.10215,                0.05505,                0.02541,                0.00465,                 4.1785,                 3.6401,                 3.3061,                0.00802,                0.00802,                0.00802
                      6,                 3.0019,                 2.7301,                 2.9562,                0.14582,                0.19422,                0.05788,                0.01264,                 3.3503,                 9.1928,                 3.1063,               0.007525,               0.007525,               0.007525
                      7,                 2.9937,                 2.6614,                 2.9341,                0.19828,                0.21101,                0.11252,                0.02352,                 3.0108,                 34.994,                 3.0903,                0.00703,                0.00703,                0.00703
                      8,                 2.8908,                 2.5829,                 2.8969,                0.12273,                 0.2844,                0.08571,                0.01734,                 3.1957,                 5.6576,                 3.0066,               0.006535,               0.006535,               0.006535
                      9,                 2.7158,                 2.3817,                 2.8571,                0.20038,                0.38532,                0.15502,                0.03427,                 3.1186,                 3.3736,                 2.8422,                0.00604,                0.00604,                0.00604
                     10,                 2.6156,                 2.3468,                 2.5194,                0.64447,                0.44903,                0.43778,                0.13288,                 2.4621,                 2.1363,                 2.4293,               0.005545,               0.005545,               0.005545
                     11,                 2.5047,                 2.2045,                 2.4001,                0.37423,                0.54128,                0.38349,                0.11146,                 2.4923,                 3.0753,                 2.3432,                0.00505,                0.00505,                0.00505
                     12,                  2.377,                 2.0069,                 2.2882,                0.37753,                0.45872,                0.40533,                 0.1391,                 2.5955,                 1.9803,                 2.3964,               0.004555,               0.004555,               0.004555
                     13,                 2.2908,                 1.8843,                 2.1918,                0.42625,                0.49541,                0.43554,                0.13592,                 2.4832,                  1.867,                 2.2684,                0.00406,                0.00406,                0.00406
                     14,                 2.1827,                 1.8356,                 2.1561,                0.62803,                 0.6041,                0.57202,                0.20467,                 2.2161,                 1.7048,                 2.1924,               0.003565,               0.003565,               0.003565
                     15,                 2.1643,                 1.7283,                 2.1164,                0.55665,                 0.6422,                0.60949,                0.23758,                 2.1946,                 1.9101,                 2.0768,                0.00307,                0.00307,                0.00307
                     16,                 2.0393,                 1.6658,                 2.1201,                0.63911,                0.55046,                0.61365,                0.26008,                 2.1209,                 1.6265,                 2.0546,               0.002575,               0.002575,               0.002575
                     17,                 2.1658,                 1.6849,                 1.9846,                0.70609,                0.61715,                0.66582,                0.27855,                 2.0893,                 1.5864,                 1.9557,                0.00208,                0.00208,                0.00208
                     18,                 2.0212,                 1.5452,                 1.9747,                0.72205,                0.74312,                0.73337,                0.34582,                 1.9911,                 1.5459,                 1.8612,               0.001585,               0.001585,               0.001585
                     19,                 2.1002,                   1.51,                 1.9583,                0.80095,                0.68807,                0.75484,                0.36899,                 2.0283,                 1.5078,                 1.8473,                0.00109,                0.00109,                0.00109
