                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.0392,                 4.1426,                 4.1658,                0.00026,                0.06195,                0.00016,                  4e-05,                 4.8854,                  4.844,                 3.8523,               0.070492,              0.0032787,              0.0032787
                      1,                 3.6277,                 3.8308,                 3.8801,                0.00049,                0.11504,                0.00629,                0.00086,                 4.4796,                 3.8227,                 3.6599,               0.040165,              0.0062847,              0.0062847
                      2,                   3.23,                 3.3866,                 3.5123,                0.00183,                0.39823,                0.00145,                0.00035,                 3.3586,                 4.9374,                 2.8862,              0.0095072,              0.0089608,              0.0089608
                      3,                 2.9263,                 3.0814,                 3.2281,                0.04396,                0.17699,                0.02859,                0.00567,                 3.0611,                 150.23,                 3.1174,               0.008515,               0.008515,               0.008515
                      4,                 2.7815,                 2.7034,                 3.0016,                0.01687,                0.06195,                0.00703,                0.00171,                 3.7868,                 4.9603,                 3.1237,               0.008515,               0.008515,               0.008515
                      5,                 2.5547,                 2.4614,                 2.8343,                0.15713,                0.26549,                0.12943,                0.04435,                 2.5198,                 3.1736,                 2.2239,                0.00802,                0.00802,                0.00802
                      6,                 2.3692,                 2.2892,                 2.6676,                0.08414,                0.15044,                0.02862,                0.00742,                 2.8686,                 5.3564,                 2.4975,               0.007525,               0.007525,               0.007525
                      7,                 2.2517,                  2.183,                 2.5709,                0.19551,                0.15044,                0.13714,                0.03607,                 2.7012,                 3.8267,                 2.5344,                0.00703,                0.00703,                0.00703
                      8,                 2.1635,                 2.0761,                 2.4632,                0.46015,                0.46903,                0.46217,                0.15554,                 2.1519,                 2.9541,                 1.9404,               0.006535,               0.006535,               0.006535
                      9,                 2.0766,                 1.9967,                 2.3854,                0.47631,                0.46018,                0.43908,                0.17433,                 2.1081,                 2.4284,                 1.9201,                0.00604,                0.00604,                0.00604
                     10,                 1.9565,                 1.7535,                 2.1194,                0.65463,                0.55356,                0.58506,                0.22363,                 2.0956,                 1.7662,                  1.953,               0.005545,               0.005545,               0.005545
                     11,                  1.823,                 1.5219,                 2.0105,                0.55255,                0.49558,                0.53422,                 0.1946,                 2.0878,                 1.8861,                 2.1018,                0.00505,                0.00505,                0.00505
                     12,                 1.7158,                  1.438,                 1.9638,                0.76418,                0.57355,                0.67345,                0.31836,                 1.7936,                 1.4889,                  1.845,               0.004555,               0.004555,               0.004555
                     13,                 1.6648,                 1.3508,                  1.882,                 0.8175,                0.59463,                0.73211,                0.36444,                 1.8431,                 1.4553,                  1.854,                0.00406,                0.00406,                0.00406
                     14,                 1.6152,                 1.2817,                 1.8449,                0.80585,                0.62446,                0.74323,                 0.3797,                 1.8186,                 1.5145,                 1.7963,               0.003565,               0.003565,               0.003565
                     15,                 1.5324,                 1.2258,                 1.7761,                0.87748,                0.69912,                0.77122,                0.41798,                  1.696,                 1.4107,                 1.6873,                0.00307,                0.00307,                0.00307
                     16,                 1.5132,                 1.1453,                 1.7597,                0.82819,                0.68254,                0.76181,                0.41769,                 1.6456,                 1.3227,                 1.6719,               0.002575,               0.002575,               0.002575
                     17,                 1.5074,                 1.1148,                 1.7363,                0.81594,                0.71681,                0.80436,                0.49322,                 1.4983,                    1.2,                 1.5829,                0.00208,                0.00208,                0.00208
                     18,                 1.4282,                 1.0704,                 1.6761,                0.83128,                0.66372,                0.77897,                0.42824,                 1.5884,                 1.3027,                 1.6321,               0.001585,               0.001585,               0.001585
                     19,                 1.4005,                 1.0383,                 1.6483,                 0.8347,                0.76106,                0.81135,                0.48742,                 1.4638,                 1.1764,                 1.5694,                0.00109,                0.00109,                0.00109
